timestamp;RSSI_01;RSSI_02;RSSI_03;RSSI_04;RSSI_05;RSSI_06;RSSI_07;RSSI_08;RSSI_09;temp;hum;bar;rain
2024-02-09 00:00:00+00:00;-100.45454545454545;-99.75;-93.4;-92.81818181818181;-84.58333333333333;-82.72727272727273;-93.08333333333333;-92.0909090909091;-97.9;50.94166666666666;40.916666666666664;30.24416666666667;0.0
2024-02-09 01:00:00+00:00;-98.33333333333333;-98.33333333333333;-92.58333333333333;-94.11111111111111;-84.0909090909091;-81.81818181818181;-93.0909090909091;-92.72727272727273;-95.6;49.85833333333333;42.416666666666664;30.245833333333334;0.0
2024-02-09 02:00:00+00:00;-99.42857142857143;-99.42857142857143;-91.3;-91.5;-84.9090909090909;-81.5;-93.33333333333333;-90.75;-93.41666666666667;49.01666666666667;44.833333333333336;30.2475;0.0
2024-02-09 03:00:00+00:00;-95.25;-97.63636363636364;-90.9090909090909;-90.58333333333333;-83.08333333333333;-80.58333333333333;-93.27272727272727;-89.66666666666667;-93.2;47.958333333333336;48.583333333333336;30.219166666666666;0.0
2024-02-09 04:00:00+00:00;-98.0;-97.36363636363636;-91.55555555555556;-90.58333333333333;-83.0;-80.54545454545455;-92.5;-90.0;-92.72727272727273;47.05833333333334;51.166666666666664;30.199166666666667;0.0
2024-02-09 05:00:00+00:00;-92.5;-97.66666666666667;-90.08333333333333;-89.54545454545455;-83.33333333333333;-80.33333333333333;-90.875;-94.81818181818181;-95.1;46.19166666666667;53.5;30.190833333333334;0.0
2024-02-09 06:00:00+00:00;-89.36363636363636;-96.6;-93.0;-90.0909090909091;-82.16666666666667;-80.08333333333333;-92.66666666666667;-94.0;-94.63636363636364;46.48333333333333;54.0;30.1725;0.0
2024-02-09 07:00:00+00:00;-91.16666666666667;-96.75;-90.54545454545455;-90.66666666666667;-82.25;-79.75;-92.66666666666667;-97.81818181818181;-94.0;45.76666666666667;55.25;30.159166666666668;0.0
2024-02-09 08:00:00+00:00;-90.9;-96.11111111111111;-90.72727272727273;-89.75;-83.3;-79.9;-92.33333333333333;-91.54545454545455;-91.72727272727273;45.69166666666666;56.333333333333336;30.14;0.0
2024-02-09 09:00:00+00:00;-88.18181818181819;-96.84615384615384;-92.5;-89.66666666666667;-82.0;-78.58333333333333;-93.0;-88.0;-94.63636363636364;45.28333333333333;57.083333333333336;30.13;0.0
2024-02-09 10:00:00+00:00;-89.0909090909091;-96.72727272727273;-90.1;-89.27272727272727;-82.41666666666667;-79.08333333333333;-91.25;-87.63636363636364;-91.8;44.583333333333336;58.833333333333336;30.127499999999998;0.0
2024-02-09 11:00:00+00:00;-95.81818181818181;-95.75;-91.27272727272727;-88.72727272727273;-80.54545454545455;-78.54545454545455;-91.8;-86.45454545454545;-93.0909090909091;44.53333333333333;59.333333333333336;30.127499999999998;0.0
2024-02-09 12:00:00+00:00;-94.77777777777777;-96.76923076923077;-87.25;-89.83333333333333;-81.0;-80.33333333333333;-92.72727272727273;-87.2;-95.72727272727273;44.53333333333333;60.0;30.13083333333333;0.0
2024-02-09 13:00:00+00:00;-95.9090909090909;-96.41666666666667;-91.2;-89.0909090909091;-82.63636363636364;-79.91666666666667;-93.85714285714286;-91.0;-94.36363636363636;45.44166666666666;59.0;30.147499999999997;0.0
2024-02-09 14:00:00+00:00;-99.0909090909091;-100.38461538461539;-94.25;-93.41666666666667;-86.0;-83.0;-98.25;-90.91666666666667;-96.27272727272727;48.35;54.75;30.150833333333335;0.0
2024-02-09 15:00:00+00:00;-99.0;-104.0;-97.36363636363636;-96.0;-91.36363636363636;-87.16666666666667;-98.8;-102.5;-101.63636363636364;53.38333333333333;48.166666666666664;30.13416666666667;0.0
2024-02-09 16:00:00+00:00;-98.18181818181819;-104.25;-95.72727272727273;-94.36363636363636;-90.08333333333333;-88.5;-99.54545454545455;-101.88888888888889;-98.8;56.225;46.583333333333336;30.127499999999998;0.0
2024-02-09 17:00:00+00:00;-98.81818181818181;-104.625;-97.4;-93.45454545454545;-90.16666666666667;-89.16666666666667;-99.4;-98.9090909090909;-99.3;62.6;43.666666666666664;30.103333333333335;0.0
2024-02-09 18:00:00+00:00;-96.08333333333333;-104.0909090909091;-97.08333333333333;-96.58333333333333;-89.5;-89.5;-101.3;-103.36363636363636;-98.9090909090909;64.3;43.083333333333336;30.069999999999997;0.0
